タイトル,タイトルURL,画像URL,Like,作者,manga_id,作品紹介,コメント,score
側室に転生して殿下を沼らせます,https://manga.line.me/product/periodic?id=Z0003631,https://linemanga-obs.line-scdn.net/0hF-aOzR1TGQJcNgc4rHVmVXlrH20lWg4LNgBINidxE3FvRywfBBUQOilBDkcFUBkmNVIDZX8wTjdzQ15QaABVYXgz/middle,0.0,SUXIN,Z0003631,"残業中に突然死した私は、気が付いたら、昼間読んでいた三文歴史小説の中に転生し、小説の主人公、景浩歌の側室である甄初瑶になっていた。
この甄初瑶、実は景浩歌と敵対する鎮北将軍家が忍び込ませた隠密で、原作では正体がバレて殺されるかませキャラ。
このままでは殺されてしまうと察した私は、景浩歌が怪我で記憶を失っているうちに、自分を溺愛させて離れられなくしようと思いつく。
一方、景浩歌も、自らが残した記録を読んで、甄初瑶が隠密であることに気づき、この陰謀を逆手にとって将軍家を倒そうと策を練り始める。
愛し愛される演技をする二人に、ストーリーが原作から逸脱し始め…二人の未来はどうなるの？",5.0,50.0
異世界から帰還したら入隊させられた,https://manga.line.me/product/periodic?id=Z0003217,https://linemanga-obs.line-scdn.net/0hNHbgz4hbEWdfHgLu6mZuMHpDFwgmcgZuNShAUyRZGxRsaAFsNSg3dDJ9MykAfQZ5CytaB3IWSVV6a1YzYCgLVnpJ/middle,629.0,Hwanggeumbidulgi(原作)・Haeil(脚色)・Oh Comic(作画),Z0003217,"韓国の平凡な高３キム・ミンジュンは突然異世界に召喚され、黒魔術師となる。
帰りたい一心であらゆる困難を乗り越え黒魔術師として異世界を救ったミンジュンは、英雄としての人生、富と名誉を捨て地球に帰還した。
あれだけ渇望していた故郷の文物に浸ろうとしていた矢先、問題が起こる。
発生し続けるダンジョン、そこから湧き出てくるモンスターに安楽地球ライフを脅かされるだけではなく…
帰還した次の日に入隊しろだと!?",70.0,1329.0
情けない男,https://manga.line.me/product/periodic?id=Z0003599,https://linemanga-obs.line-scdn.net/0hPWQCs37SD3hsOhF8W7hwL0lnCRcVVhhxBgxeTBd9BQtfcDIuKxkUWxp9Akg0cQ1IJ14UH0s_VU5IT0gqWAtHHhs-/middle,0.0,郭百洙,Z0003599,"現実から目を背け、逃げては他人のせいにし、言い訳ばかりしてきたダメ男を極めた男。41歳で仮想通貨投資に失敗、会社もクビになり家まで追われてしまう。
そんな男が過去にタイムスリップし、未来で大人気作家となる元カノと出会うこととなるが…
彼は今度こそ大人気作家の夫になれるのか！？",2.0,20.0
転生したら古代言語が韓国語でした 【タテヨミ】,https://manga.line.me/product/periodic?id=S149361,https://linemanga-obs.line-scdn.net/0huvNg87FHKllzHjuaN1xVDkZDLDYKcj1QGSh7bQhZICpAfDoHSXlhNwVbdGwKLzlbR3w/middle,0.0,Camotero・Gajang・Gamja,S149361,ソウルのど真ん中で雷に打たれて死んでしまったヒロインは、読んでいた小説「皇帝はその花を手折らない」の脇役「シーシャ・アルビナ」に転生してしまう。しかし彼女は皇帝の「カリンヌ」に古代帝国で使われていた魔法の制御法を捧げようと手掛かりを探す途中で死ぬ運命だった。なんとか死を回避しようと、ついに古代の図書館を見つけるも、古代言語が前世で使っていた言葉「韓国語」だったことを知り驚愕する。しかも本来はヒロインのカリンヌに恋するはずのサブキャラ、「イアフ」がなぜか「シーシャ」に関心を示して――,17.0,170.0
ダブルクリック～eスポーツ部へようこそ～,https://manga.line.me/product/periodic?id=Z0003280,https://linemanga-obs.line-scdn.net/0hjt5SQPeXNVsIKiteVRVKDC13MzRxRiJSYhxkb3NtPyg7Ey1_SikPdVFwHW0ibzIKMk4vOC8oaGMjX3IJPBh8Oykj/middle,7.0,kimjanghun(原作)・parksubong(作画),Z0003280,"悪名高い難易度のゲームにおいて世界ランキング1位の記録を持つジホ。サービスが終了したとばかり思っていたそのゲームが新しくなって帰ってきた！
再びランキング1位を夢見たジホは、eスポーツ部に入部する。ゲームをするのは久しぶりだったが、その感覚は指に残っていた。しかし、ゲームが新しくなったことで、予想外の弱点が発覚する。
強い相手と対峙するほど情熱が沸き立つ主人公のプロゲーマー挑戦記！",9.0,97.0
闇落ち皇子は私が育てました,https://manga.line.me/product/periodic?id=Z0003626,https://linemanga-obs.line-scdn.net/0hjPm12AX2NX9QSCtFobVKKHUVMxApJCJ2On5kSysPPwxjECpoL1N5S3I3YyQoJRl5ESwvECBPbE59PXItZH55G30Y/middle,0.0,Natsume(作画)・Yunchuan(脚色),Z0003626,"フィールドワーク中に死んでしまった考古学者は、ある物語のヒロインの姉…悪女の鳳妤飛として異世界に転生した！
しかし再度転生してこの世界から出ていきたい鳳妤飛は、システムから課された任務を成功させなければならない。システムが要求する任務…それは、物語の主人公で皇子の蕭栩に屈辱を与え、闇落ちさせて、執念をバネに皇帝に上りつめさせること。
だが鳳妤飛はその第一歩を踏み間違え、なぜか主人公を助ける形に！？以来、嫌われ恨まれようと何をしても、結局主人公を救ってしまうのだ。
まったくうまくいかない日々を過ごしながら、本当のヒロインを差し置いて皇子の心は鳳妤飛に傾き始める。
私の再転生計画はどうなっちゃうの！？",9.0,90.0
グレイマーク,https://manga.line.me/product/periodic?id=Z0003614,https://linemanga-obs.line-scdn.net/0hE2pLQ0-AGh1NNQQZfH1lSmhoHHI0WQ0UJwNLKTZyEG5-DBkMLQ9UPBtjP3EfYz8_DlEALjswTShoQF1PeQRSeWli/middle,2.0,GM.T,Z0003614,"無数の罪を犯し、宇宙に追放された残虐非道な罪人｢グレート｣。
彼がそこで出会ったのは、宇宙の王｢ロホムロ・ガハ｣。  
ロホムロ・ガハによって過去に戻ったグレートは、かつて犯した数々の過ちを正し、幸福に満ちた未来を再び描こうとするのだった…",13.0,132.0
血月の死神〜最強のボスを目指して〜,https://manga.line.me/product/periodic?id=Z0003311,https://linemanga-obs.line-scdn.net/0hyNSVFgpSJmFuLzgaBs9ZNktyIA4XQzFoBBl3VRVoLBJdRRF1LD0dRBQsCy8IGzdxJEs8B0svcFZBWmEzVkBgVRsp/middle,1.0,COLgroup&Ehei Studio,Z0003311,"世界有数のゲーム会社・天命で働く柏原陸人は、同じ児童養護施設で育った兄の失踪を調査すべく、会社を辞職し、没入型ゲーム「幻月」に参加する。
陸人は「幻月」の制作会社である天命からゲームに関する情報を盗み出し、兄を捜す旅路に出たが、誤って非正規ルートに進んだことで、ゲームのボスたちが生息する裏世界に迷い込んでしまい、ボスの一人になってしまったのだ！！
持ち前のゲームの実力のおかげで、陸人は順調にレベルを上げていくものの、失踪中の兄は誰も足を踏み入れられない謎のエリアに消えたことを知る……。
果たして彼はボスとして成長し、兄を見つけることができるのか――",13.0,131.0
告白したら終わるマンガ,https://manga.line.me/product/periodic?id=Z0003509,https://linemanga-obs.line-scdn.net/0h7JxDlrnpaGVFPXZpK5MXMmBgbgo8UX9sLws5UT56YhZ2eCdaLyhPczpOVhETdUtSD1lyUWA1NFxsSC83KV0uUzQ1/middle,0.0,ユンディン,Z0003509,"典型的なドジっ子、加藤清名(せいな)。
傘を貸してもらったことを機に、同じクラスの大成(たいせい)を好きになるが、告白しようとする度、ミスをしてしまう…！
今度こそはと思いながらも、逃してしまう告白チャンス！
｢明日は絶対好きって言おう！｣
果たして、清名の気持ちは大成に届くのか？",34.0,340.0
ミッドナイト・スクールバス,https://manga.line.me/product/periodic?id=Z0003654,https://linemanga-obs.line-scdn.net/0hndzSXKY2MUtHKi9OG8pOHGJ3NyQ-RiZCLRxgfzxtOzh0Tg5YBD8nZD9pPSsZcwlEJ04rJWcoZ3xjX3YZcxh4JDIs/middle,0.0,Red,Z0003654,"一人が好きな高校生「アシュリン」
アシュリンは体験学習でクラスメイトと得体の知れない恐怖体験に巻き込まれる。
それ以来毎晩…正体不明の怪物に出くわすことに…。

力を合わせて怪物から生き残れ！北米ウェブ漫画ミステリージャンル第１位！",9.0,90.0
愛しい公爵に婚約破棄されました,https://manga.line.me/product/periodic?id=Z0003194,https://linemanga-obs.line-scdn.net/0h79qQDIrhaBZMKHjddE8XQWl1bnk1RH8fJh45IjdvYmV_QVASLitUGxZTdE0-bVcBJU0kJTwtNCJpXS9CJEcjImop/middle,54.0,三十(作画)・二両(脚色)・塩漬け魚の漫画(出版),Z0003194,"カサンディ公爵家たったひとりの令嬢であるラティは、幼い頃からハイスリー公爵家のヤウルとフィアンセであった。
ある日そんなヤウルから婚約解消の申し立てを受け、面子がなくなってしまうことを案じたラティは直接ヤウルに婚約解消の理由を聞きに行くが、ヤウルの馬鹿にした態度に腹を立て思わず気絶させてしまう。
こんなことをしてしまっては絶対婚約解消されてしまうと焦るラティだったが目覚めた彼は記憶を失っておりーー
「君は…誰？」
私たちの婚約いったいどうなっちゃうの…⁉",96.0,1014.0
恋愛小説の書き方,https://manga.line.me/product/periodic?id=Z0003528,https://linemanga-obs.line-scdn.net/0hk997teHfNBYETiW2_SJLQSETMnl9IiMfbnhlIn8JPmU3GnQGaCkQF0c0FX9cASQFcyoueClJbi8sO3NEOS17IyId/middle,28.0,Leebum,Z0003528,"ベストセラー作家の伊達詩温。
彼の犯罪小説｢縄」の内容と手口が全く同じ殺人事件が、現実世界で起こってしまった。

被害者がいるのに、犯人は捕まらない日々。詩温は罪悪感とトラウマで、犯罪小説ではなく恋愛小説を書こうと決心するが…
｢伊達先生が恋愛小説…？作品ではいつも何人も死人が出るあの伊達先生が？｣

詩温は｢恋｣を知るために、幼馴染の梓に付き合うことを提案する。二人の恋と事件の行方はいかに…？",10.0,128.0
格闘ゲームの法則,https://manga.line.me/product/periodic?id=Z0003327,https://linemanga-obs.line-scdn.net/0h02g1TYZMbx1aSHEZZLwQSn8VaXIjJHgUMH4-KSEPZW5pMW89IyZCf3sQc38-Cmo9Byx1fn9NOSt0PShPbnkkK3dK/middle,0.0,YUTIST,Z0003327,"格闘ゲーム「ブラッド・フィスト」の達人だった小柳 陽向にシンギュラリティが訪れた。 
現実でもゲームの中のコマンダーが見えるようになったのだ。 
ゲームに飽きていた陽向は実戦に興味を持ち始め、自分の腕力で学校を制覇しようとしていたが「ユキヒョウ」という異名を持つ室井 海斗にリングの上で大敗する。
陽向は室井との再対決のために格闘技サークル「ララパルーザ」に加入することになるが···",15.0,150.0
霜の華が咲くころ,https://manga.line.me/product/periodic?id=Z0003120,https://linemanga-obs.line-scdn.net/0hpIjiMoY9L2ZXEDFjEGtQMXJNKQkufDhvPSZ-UixXJRVkUzZvFhQBZgoUDhAsI21YGHQ0AXUSdFJ8ZWg0YyJmAHJC/middle,2.0,Danlo,Z0003120,"大延国に住む貴族の娘・李紗飛。彼女と幼なじみの男友達・泰海蘭柳秀は互いに想いをよせていた。明るい未来を信じて疑わない２人。だが、悲劇は突然訪れる。
紗飛は成人儀礼「筓礼」を済ませた翌日、第一皇子・如栗赤の謀略により、彼と結婚せざるをえない状況に追い込まれてしまう。激怒した紗飛は、婚礼を中止させようと試みるが、父親が捕えられたことで現実の厳しさを悟っていく。
帝位につく野望のために突き進む赤、権力強化を図る皇帝、実の息子を帝位につけようとする皇后…。
絡みあう人々の思惑の中で、紗飛と柳秀は愛をかなえることができるのか？
宮中を舞台に繰り広げられる純愛ラブストーリー！",8.0,82.0
ロンドの禍中（軍鶏左衛門作品集）,https://manga.line.me/product/periodic?id=Z0003637,https://linemanga-obs.line-scdn.net/0hf-nrG-91OQJTCyc1kK5GVXZWP20qZy4LOT1oNihMM3FgZywBOmQGIxNPG1Q5ejwoOG8iZCMLZzp-fn5QZj8hYCII/middle,0.0,軍鶏左衛門,Z0003637,表題作『ロンドの禍中』を含む、新鋭漫画家・軍鶏座右衛門の短編及び長編作品集。,2.0,20.0
エックスアッシュ,https://manga.line.me/product/periodic?id=Z0002472,https://linemanga-obs.line-scdn.net/0hDr0qQGAoG10NCAuErEBkCihVHTJ0ZAxUZz5KaXZPES4-PAoCVS0jZ2NUFxp8PlRbcT1QPSEBRWUjfVwJZj4BOSlf/middle,48.0,HOHOEE(文)・LKS(絵),Z0002472,"盗みの天才エックスと謎の過去を持つアッシュ。
騎士団第一の剣、リュウと運命的に出会い騎士になる！
人類最強の存在だけが集まる騎士団の試験場、エックスとアッシュは、あらゆるものを持つエリート貴族と競争して勝利しなければならない！
果たして彼らは騎士になれるのだろうか？
そして、その後、彼らの前に繰り広げられる残酷な運命は…⁉",41.0,458.0
マリーの世界,https://manga.line.me/product/periodic?id=Z0003133,https://linemanga-obs.line-scdn.net/0h2O8VcgC2bWAFL3NZU40SNyByaw98Q3ppbxk8VH5oZxM2TyszbTZhVlwsMgdIaExsOkt3DyMmM1YpWioyMRkrBXQr/middle,7.0,藤田まぐろ,Z0003133,『ここは本当に私の描いた世界なの？』漫画家・早乙女まりえは連載中の漫画がラストを迎える直前に不慮の事故で川に落ちてしまう。助けてくれたのは自分の漫画のキャラクター・魔族の王子レオンだった!? まりえは主人公のマリーとして転生していたのだ…貴族の兄弟・紳士的な兄アルフレド、可愛い弟エリオット、俺様王子のレオンに取り合われるところまではストーリー通りだったけど…！ 解らぬ陰謀、復讐劇…漫画とは違うストーリーに巻き込まれていく!?※この物語はフィクションです。実在の人物・団体・事件等とは一切関係はありません。,107.0,1077.0
チート・ギャンブルー謀略博戯ー,https://manga.line.me/product/periodic?id=Z0001178,https://linemanga-obs.line-scdn.net/0hGStFAXM-GHxJPwr9ga5nK2xiHhMwUw91IwlJSDJ4Eg96VRdqLDAkcixKPxYECjdzLVpUTzg_QUVmSl8pdloDSD84/middle,1832.0,玉置一平（作画）／中川勇樹（脚本協力）,Z0001178,IR実施法により、ついに日本に誕生したカジノ施設「カジノ・アルテミス」。そこには世界の富豪たちをもてなすための非合法な裏カジノ「カジノ・ハデス」が併設されていた…。謎のチート能力を持つ・流鏑馬和也は幼なじみの少女を救うため、裏カジノの殺人ギャンブルに挑む！※この物語はフィクションです。実在の人物・団体・事件等とは一切関係はありません。,55.0,2382.0
私を忘れないで,https://manga.line.me/product/periodic?id=Z0002872,https://linemanga-obs.line-scdn.net/0hsYr1GB0DLHZPSDJDTYZTIWoVKhk2JDt_JX59QjQPJgV8ER1-G0UqTg0xEEMaOmp7DSw2FT5IdkVkPWskenphF2NA/middle,4.0,BD(原作)・Walchi(作画),Z0002872,"由奈は旅行先で怪しい男に追われる謎の少年「 海音」に出会う。命懸けで 海音を連れて逃げるが、１か月後、 海音は由奈の目の前で死んでしまう。その後 由奈は逃げるように日本に帰国するが、17年後 死んだはずの 海音に似た男が由奈の前に現れる。その男は「神田ノエル」と名乗るが、「 海音」と重なる部分があまりにも多すぎる。彼は本当に「 海音」とは別人なのか、それとも「 海音」本人なのか。
「私を忘れないで―」
歪んだ記憶の中からあなたを見つける物語。",19.0,194.0
公爵城の呪われたメイド様,https://manga.line.me/product/periodic?id=Z0003331,https://linemanga-obs.line-scdn.net/0hCL_V6mrAHGNiLwz3oqpjNEdyGgwbQwtqCBlNVxloFhBRbTpMBSoQUBpQQBIWVhAyLBpXA04pRVROWlswXR4EABUs/middle,32.0,Marucomics(作画)・Odanrobot(原作),Z0003331,"「あの女、俺の目の前から消してくれ」
冷血な公爵様に目をつけられてしまった。
なのにこの呪いを解くためには公爵様と一緒にいなくてはいけなくて…！？
だったら…！
「わ、私、閣下のことが好きです…！！」
この危険な賭けが…効いた？
公爵様と呪いと共にする、爽やか公爵城ライフ！",26.0,292.0
13皇子の恋,https://manga.line.me/product/periodic?id=Z0003442,https://linemanga-obs.line-scdn.net/0h513tEC-Cah4ODXuKHe0VSSpQbHF3YX0XZDs7KnVKYG09YSQPNy9tAWhXPV5aOigaM2lwfX4LNydmPSlLZW4hKC0/middle,8.0,zestkyo,Z0003442,"悲しい秘密を抱える女戦士アルキナ。
そしてそんな彼女の側にいたいと願うドラグントゥス皇家の第13皇子キラード。
しかしある日を境に彼の運命は一変したのだった。
｢愛｣のため新たな道を歩むことになったキラード、いったい彼の運命はどうなってしまうのか!?",23.0,238.0
心臓を貫く毒牙,https://manga.line.me/product/periodic?id=Z0003423,https://linemanga-obs.line-scdn.net/0h21dBSWB7bR5ZO32ZWw0SSXxma3EgV3oXMw08KiJ8Z21qbXAKGyRQHHRgSWYsSyo7M14hLS48NCtwTipNZQ8gf3g7/middle,77.0,yekyung(作画)・3S(脚色)・YoungOneDot(原作),Z0003423,"悪魔召喚の現場を示唆する血だらけの穴。その中から心臓のない十三の死体が見つかった。
六芒星の真ん中に転がっていた死体がゆっくり起き上がった。手足を粗く縫ったボロ布が自らを見下ろした。
「少し厄介なことになりそうだ。」地獄の7番目の大悪魔が頬を掻いた。彼の入り込んだ体は、奴隷の血が流れる少女だったからだ。",43.0,507.0
絶滅危惧種人間,https://manga.line.me/product/periodic?id=Z0003364,https://linemanga-obs.line-scdn.net/0h8L4IgHZbZ2MJMHlnMAwYNCxtYQxwXHBqYwY2V3J3bRA6eCUzQSV_RitIegBxWUlDT1R9DXg1O1YjRSAxPQEsVihj/middle,0.0,SAHARA,Z0003364,"――ある日突然全員の願いが叶ったら
果たして皆が満足するだろうか？――

巨大な彗星｢アシア｣が地球を襲った日全ての人間の願いが叶ってしまった…
それがむしろ災難と化したこの世界に願いによって能力を得た超能力者が現れた！
彼らは人類が絶滅するのを阻止するため英雄になることを選び怪物と戦うことになるが…？
人間VS怪物 
最後まで何が起こるかは誰にも予測不能！
ハラハラドキドキの物語が今始まる…！",3.0,30.0
求む、聖剣。,https://manga.line.me/product/periodic?id=Z0003272,https://linemanga-obs.line-scdn.net/0hK4kyMtNbFBtWAAUuwhVrTHNdEnQvbAMSPDZFLy1HHmhlcgkPFTwHf3dXI1YgVxYvOWQOKCAITCt5dVNIYzIJfHED/middle,3.0,CHOIDAKIL,Z0003272,"魔王を倒せるたった一つの武器
聖剣
を無くした勇者…
聖剣を取り戻すまで勇者は探し続ける。
10年、20年、30年…
龍の棲み家から精霊王の隠れ家まで、勇者は今日も聖剣を探す。
聖剣を失くした勇者なんて
超恥ずかしいから。",26.0,263.0
地獄育成アプリ,https://manga.line.me/product/periodic?id=Z0003218,https://linemanga-obs.line-scdn.net/0hqcp30V9ZLkxNSj6DJFhRG2gXKCM0JjlFJ3x_eDYNJD9-CCx9LlVieCsJNno2BWBxJ39lLGFCcn5jP2kYJSloeWpO/middle,30.0,SEHA,Z0003218,"朽ちた｢地獄｣を成長させる悪魔のアプリ｢地獄育成｣！
プレイヤーが望むものすべてを
授けられる｢地獄｣を成長させるために
生身の人間をゲームの中に閉じ込め
痛めつけなければならないが…
悪魔になりすべてを手に入れるか？
人間の心を保ち不公平な世の中を耐え抜くか？",26.0,290.0
騙した公爵様を誘惑しちゃいました,https://manga.line.me/product/periodic?id=Z0002767,https://linemanga-obs.line-scdn.net/0hEVNxUS8NGnlzAQkIVnNlLlZcHBYKbQ1wGTdLTQhGEApATSNcMxdQQz9kHE4jZVVrLWRWSgMJQUhadF0sS2RQSFYF/middle,83.0,T.Heimdallr(企画・制作)・Bae Hee Jin(原作),Z0002767,"生計を立てるため男爵令嬢の身分を隠してギルドで働くマリア。
ある日、ベリーウィンター公爵の結婚式をぶち壊すという依頼を受ける。
「この結婚、異議あり！私のお腹の中には…公爵様の赤ちゃんがいるのです！」
マリアの衝撃的な告白に結婚式場はざわめき、そろそろマリアが立ち去ろうとした時…
「ハニー、どうしてもっと早く来てくれなかったんだい？」
ベリーウィンター公爵が初対面のマリアをハニーと呼んで…？",59.0,673.0
304号室,https://manga.line.me/product/periodic?id=Z0002764,https://linemanga-obs.line-scdn.net/0hkGdt1tqHNGhZDSYqY0FLP3xQMgcgYSNhMztlXCJKPhtqRBg8HTEkRxx1HTkmWhduPWwpCS8LY1B9eHM-Ymt_Wn1e/middle,1.0,イマレン,Z0002764,"就職の面接のためにソウルに来た「チャン・ウヨン」。
一晩泊まることになった高級そうなモーテルの額縁の裏から、隣の部屋が見えるマジックミラーを見つける。
しかもそこにいたのは国民的ガールズグループ リリーズのメンバー「イ・スジン」。警察に通報しようとした瞬間、スジンの部屋に正体不明の男が訪ねてきて、彼女にナイフを突きつける。一触即発の状況でウヨンはスジンの部屋、304号室に駆けつける。",25.0,251.0
密室マフィアゲーム,https://manga.line.me/product/periodic?id=Z0002470,https://linemanga-obs.line-scdn.net/0h-KBj81hxcmR_E2DvNKENM1pOdAsGf2VtFSUjUARUeBdMa3ZaJA1JZQJuWRImXDZqPnY-Vw4bKlxSZjUxQHw6Vw8X/middle,192.0,baek ji-un(漫画)・WONS(脚色)・PAN(原作),Z0002470,平凡な高校生カン·ジュンは、ある日彼が目を覚ますと密室に閉じ込められていた。周囲に発見したのは古いMP3一つ。そのMP3に残っていたメッセージで自分は毒を飲んでいて、残り3時間しか生きれないという衝撃的な事実を知ることに。普段、推理クイズマニアだったカン·ジュンは、数年間積んできた推理力で手がかりを探し密室を脱出しようと試みるが、理想と現実は違う。ミスを連発し、結局毒が広がり血を吐く緊迫した状況に至った彼の目についた最後の手がかりは果たして！この地獄のような密室を脱出する方法はあるのか！,72.0,912.0
（ノベル）チュートリアル塔の廃人,https://manga.line.me/product/periodic?id=Z0002053,https://linemanga-obs.line-scdn.net/0hk9t5okitNBZJTCoTDdxLQWwRMnkwICMfI3plIjILPmV6Oi0IcSkOLGkvCXIgJypJLigueGVOaCFnOXNEfX59cT9K/middle,0.0,Indoor Kim,Z0002053,"『チュートリアル塔の廃人』の原作ノベル、遂に登場！
ある日、世界中に突如として出現したモンスターと塔。強制的にその塔に連れていかれた人々が塔から脱出するためにはあらゆる試練をクリアするしかない。生き残った生存者は特殊能力を持ったハンターとなり人類のヒーローになるのだ。 12年間チュートリアル塔に閉じ込められていた「佐藤健太郎」。塔の無限の呪いにかかった彼は1349回クリアを繰り返し強力なハンターへと成長していた。そんなある日、彼の呪いは解け塔からの脱出に成功するのだが…！ 気分爽快、ぶっ飛びヒーローの登場！！",14.0,140.0
アリス-運命のタイムトラベル-【タテヨミ】,https://manga.line.me/product/periodic?id=S148954,https://linemanga-obs.line-scdn.net/0hTU8tbC-GC3oFDRqNwL10LTBQDRV8YRxzbztaTn5KAQk2NU8tPjlHGSJIVU96aEt4Pm0/middle,0.0,Kim Kyu-won・Kang chul-kyu・Kim Ga-young・YEAR ONE・Yangkifull・NHN,S148954,ある日、母さんが殺された。犯人は、証拠も痕跡も残さず煙のように姿を消した。俺には時間をまき戻す能力があったが、何度試してもその日の事件だけは防げなかった。「お母さんと瓜二つの人に出会ったら、なんとしてでも避けなさい」　タイムトラベラーにより混乱に陥る世界。タイムトラベルを止めようとする者と、守ろうとする者の争いが今始まる.,5.0,50.0
ゴーストハンター,https://manga.line.me/product/periodic?id=S145465,https://linemanga-obs.line-scdn.net/0hfjwc7UBNOUVKGinIJ7pGEn9HPyozdi5MICxocTFdMzZ5fXcWJHx2Ij9fZ3BkLH8UcHs/middle,0.0,Jji・KENAZ,S145465,生前の記憶と感情を失い、ゴーストハンターになったナム・ドユン。弟ナム・ドハの通う学校に出没した悪鬼を討伐していたところ、弟ドハが悪鬼になり、体を失ったドユンの魂はドハの体に吸い込まれてしまった。前例のない事態だったが、GMC(霊魂管理局)の首長であるオー(O)はドユンを見守ることに。その後も弟の魂を探すため任務を遂行するドユン。そして真実に近づけば近づくほど、GMCの実体が明らかになる…！,4.0,40.0
武器屋無双～歌舞伎町の怪物たち～【フルカラー】【タテヨミ】,https://manga.line.me/product/periodic?id=S143690,https://linemanga-obs.line-scdn.net/0hCvNuJZy0HFlzDAz4SstjDkZRGjYKYAtQGTpNbQhLFipAa1tYGzhXPVFJQmxfPw5fT2s/middle,43.0,Nemeton・レジカスタジオ,S143690,歌舞伎町ーーー殺人、強盗、暴行、窃盗、様々な犯罪が横行するこの街で、自営の手段を提供する“武器屋”がいた。歌舞伎町最強の呼び名の高い便利屋・土佐は、自分と同じ様に親の無い子どもたちの為に孤児院を営んでいた。貧しいながらも子ども達と幸せに暮らしてきたのだが、反社会組織とのあるトラブルによって大切な存在を奪われてしまう…！絶望し、怒りのまま復讐に臨む土佐であったが、その無謀さを止める為に情報屋の光希は土佐にある男を紹介する。その男こそ、歌舞伎町の“武器屋”甲斐であった。便利屋・土佐と武器屋・甲斐の出会いによって、街が動き出すーーー!!歌舞伎町を舞台にしたピカレスクハードアクション！,11.0,153.0
